$Ascii,:,02_97_DD_2X,Esstar,04/06/2018,,

Depth,DTCO3,DTSH3,DTSH6,ECGR,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH
M,US/F,US/F,US/F,GAPI,Deg,IN,Deg,G/C3,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,V/V
1119.8352,121.2505,181.869,271.9121,60.5977,6.0498,12.3855,0.8014,4.6288,0.0281,0.0236,0.0195,0.0162,0.0135,0.0132,0.0413,0.7169
1119.9876,121.2505,181.869,271.9121,59.6484,6.0498,12.3929,0.8014,4.6288,0.0281,0.0236,0.0195,0.0162,0.0135,0.0132,0.0413,0.7169
1120.14,121.2505,181.869,271.9121,57.8931,6.0168,12.3781,0.8017,4.6288,0.0281,0.0236,0.0195,0.0162,0.0135,0.0132,0.0413,0.6077
1120.2924,121.2505,181.869,271.9121,53.1725,5.9838,12.3855,0.8019,4.6288,0.0238,0.0183,0.0157,0.0124,0.0107,0.0105,0.0482,0.6603
1120.4448,121.2505,181.869,271.9121,54.7809,5.9508,12.3855,0.8022,4.6288,0.0444,0.0354,0.0299,0.0255,0.0227,0.0222,0.0506,0.7404
1120.5972,121.2505,181.869,271.9121,57.2624,5.9179,12.3855,0.8024,4.6288,0.0215,0.0171,0.0144,0.0116,0.0112,0.0109,0.0437,0.5596
1120.7496,121.2505,181.869,271.9121,59.4386,5.8849,12.3855,0.8027,4.6288,0.0329,0.0253,0.0217,0.018,0.0164,0.0161,0.0303,0.5599
1120.902,121.2505,181.869,271.9121,59.4567,5.852,12.3855,0.803,4.6288,0.0085,0.0053,0.0048,0.0031,0.0026,0.0026,0.0318,0.5547
1121.0544,121.2505,181.869,271.9121,59.0528,5.8191,12.3633,0.8032,4.6288,0.0149,0.012,0.0106,0.0084,0.0073,0.0072,0.0333,0.5939
1121.2068,121.2505,181.869,271.9121,58.5971,5.7863,12.3744,0.8035,4.6288,0.0325,0.0248,0.0215,0.0183,0.0154,0.015,0.0333,0.5726
1121.3592,121.2505,181.869,271.9121,58.3175,5.7534,12.3633,0.8037,4.6288,0.0045,0.003,0.0023,0.001,0.0015,0.0014,0.0326,0.5471
1121.5116,121.2505,181.869,271.9121,57.1129,5.7206,12.3633,0.804,4.6288,0.0171,0.0132,0.0117,0.0099,0.0103,0.0101,0.0396,0.5597
1121.664,121.2505,181.869,271.9121,60.5758,5.6878,12.3633,0.8043,4.6288,0.0092,0.008,0.006,0.0039,0.0014,0.0013,0.0428,0.5357
1121.8164,121.2505,181.869,271.9121,60.8155,5.655,12.3633,0.8045,4.6288,0.0241,0.0192,0.0165,0.0137,0.0122,0.0119,0.0422,0.5193
1121.9688,121.2505,181.869,271.9121,62.9461,5.6222,12.3781,0.8048,4.6288,0.0166,0.0131,0.011,0.0086,0.0075,0.0073,0.0334,0.5562
1122.1212,121.2505,181.869,271.9121,59.9336,5.5895,12.3744,0.8051,4.6288,0.0179,0.0142,0.0121,0.0097,0.0089,0.0087,0.0338,0.5051
1122.2736,121.2505,181.869,271.9121,60.5084,5.5568,12.3855,0.8053,4.6288,0.0168,0.0135,0.0111,0.0085,0.0066,0.0065,0.034,0.514
1122.426,121.2505,181.869,271.9121,59.1659,5.5241,12.3781,0.8056,4.6288,0.0185,0.0147,0.0128,0.0108,0.0103,0.0101,0.0338,0.4671
1122.5784,121.2505,181.869,271.9121,58.2961,5.4914,12.3855,0.8058,4.6288,0.0186,0.0148,0.0126,0.0102,0.0087,0.0085,0.0375,0.4734
1122.7308,121.2505,181.869,271.9121,59.1803,5.4587,12.3855,0.8061,4.6288,0.0167,0.0131,0.011,0.0086,0.0073,0.0071,0.0366,0.4546
1122.8832,121.2505,181.869,271.9121,58.267,5.4261,12.3707,0.8064,4.6288,0.0171,0.0136,0.0112,0.0086,0.0068,0.0066,0.0391,0.5549
1123.0356,121.2505,181.869,271.9121,57.5221,5.3935,12.3855,0.8066,4.6288,0.0209,0.0166,0.0143,0.0119,0.0104,0.0102,0.0352,0.5559
1123.188,121.2505,181.869,271.9121,57.5221,5.3609,12.3855,0.8069,4.6248,0.0176,0.0141,0.0118,0.0094,0.0078,0.0076,0.0434,0.6527
1123.3404,121.2505,181.869,271.9121,58.9408,5.3283,12.3855,0.8072,4.6248,0.0169,0.013,0.0108,0.0082,0.0062,0.0061,0.04,0.6133
1123.4928,121.2505,181.869,271.9121,61.2586,5.2957,12.3929,0.8074,4.6248,0.0158,0.0125,0.0101,0.0074,0.0053,0.0052,0.0423,0.6134
1123.6452,121.2505,181.869,271.9121,61.1489,5.2632,12.3929,0.8077,4.2934,0.0174,0.0136,0.0108,0.0077,0.0051,0.005,0.0345,0.5354
1123.7976,121.2505,181.869,271.9121,58.9389,5.2307,12.3929,0.8079,3.3893,0.0164,0.0128,0.01,0.0068,0.004,0.0039,0.0326,0.5404
1123.95,121.2505,181.869,271.9121,58.4603,5.1982,12.3929,0.8082,2.4868,0.0161,0.0127,0.0101,0.0072,0.0047,0.0046,0.0315,0.5232
1124.1024,121.2505,181.869,271.9121,56.2167,5.1658,12.3855,0.8085,1.9177,0.0164,0.0129,0.0107,0.0083,0.0065,0.0064,0.0315,0.5117
1124.2548,120.9925,181.452,271.9121,55.8632,5.1333,12.3855,0.8087,1.9045,0.0174,0.0135,0.0107,0.0077,0.005,0.0049,0.0307,0.4552
1124.4072,121.8553,179.8365,271.9121,55.4398,5.1009,12.3855,0.809,2.8071,0.0144,0.0114,0.0092,0.0067,0.0046,0.0045,0.0311,0.457
1124.5596,122.0748,180.4717,271.9121,57.1124,5.0685,12.3744,0.8093,3.7115,0.0188,0.0148,0.0122,0.0094,0.0071,0.0069,0.0311,0.46
1124.712,125.8483,-999.25,271.9121,57.762,5.0361,12.3855,0.8095,4.6225,0.0184,0.0146,0.0121,0.0095,0.0073,0.0071,0.03,0.5346
1124.8644,124.1439,-999.25,271.9121,61.3913,5.0037,12.3855,0.8098,4.6225,0.0142,0.0111,0.0091,0.0068,0.0052,0.005,0.03,0.514
1125.0168,123.3129,182.3771,271.9121,59.7146,4.982,12.3855,0.8096,4.6225,0.0174,0.014,0.012,0.01,0.0086,0.0084,0.0301,0.5164
1125.1692,120.7202,182.1679,271.9121,59.8436,4.985,12.3855,0.8083,4.6288,0.027,0.0215,0.0183,0.0154,0.0125,0.0123,0.0319,0.5021
1125.3216,117.9132,181.8025,271.9121,57.1352,4.989,12.3855,0.8069,4.6288,0.0224,0.0176,0.0149,0.0122,0.0096,0.0094,0.0319,0.5232
1125.474,126.2694,182.0206,271.9121,57.7837,4.9929,12.3966,0.8055,4.6288,0.0176,0.014,0.0117,0.0094,0.0074,0.0073,0.03,0.5379
1125.6264,126.1207,-999.25,271.9121,61.6523,4.9969,12.3855,0.8041,4.6288,0.0158,0.0124,0.0101,0.0074,0.0052,0.0051,0.0328,0.5404
1125.7788,116.6138,182.4569,271.9121,65.6278,5.0009,12.3855,0.8028,4.6288,0.0124,0.01,0.0084,0.0064,0.005,0.0049,0.0333,0.5311
1125.9312,125.895,182.1435,271.9121,73.0965,5.005,12.3633,0.8014,4.6288,0.0162,0.0128,0.0105,0.0081,0.006,0.0058,0.0325,0.5304
1126.0836,123.1949,181.8301,271.9121,81.8408,5.009,12.3744,0.8,4.6288,0.0184,0.0143,0.0115,0.0086,0.0059,0.0058,0.03,0.5616
1126.236,117.74,182.9256,271.9121,87.1121,5.013,12.3522,0.7986,4.6288,0.016,0.0125,0.0099,0.0071,0.0046,0.0045,0.0301,0.5981
1126.3884,121.5781,182.8119,271.9121,89.5412,5.0171,12.3633,0.7973,4.6288,0.0186,0.0146,0.0117,0.0087,0.0059,0.0057,0.0301,0.6135
1126.5408,120.3373,181.7756,271.9121,89.1836,5.0212,12.3633,0.7959,4.6288,0.0186,0.0145,0.0118,0.009,0.0063,0.0062,0.0325,0.5917
1126.6932,120.7928,180.856,271.9121,89.6381,5.0253,12.3522,0.7945,4.6288,0.0182,0.0142,0.0115,0.0088,0.0062,0.0061,0.0324,0.559
1126.8456,121.2568,181.7976,271.9121,86.4445,5.0294,12.3522,0.7931,4.6288,0.0168,0.0132,0.0107,0.008,0.0056,0.0055,0.0324,0.5807
1126.998,121.3471,182.9648,271.9121,84.3067,5.0335,12.3707,0.7918,4.6288,0.0153,0.012,0.0098,0.0074,0.0055,0.0054,0.0338,0.531
1127.1504,121.5471,182.7957,271.9121,87.0246,5.0376,12.3744,0.7904,4.6288,0.018,0.0141,0.0113,0.0084,0.0057,0.0056,0.0338,0.5469
1127.3028,121.492,182.1358,271.9121,89.0542,5.0418,12.3633,0.789,4.6288,0.0175,0.0138,0.011,0.0081,0.0054,0.0052,0.0338,0.5309
1127.4552,121.5266,182.5651,271.9121,88.7371,5.0459,12.3522,0.7876,4.6288,0.018,0.0141,0.0116,0.0089,0.0064,0.0063,0.0348,0.5287
1127.6076,121.6991,182.1799,271.9121,84.2195,5.0501,12.3855,0.7863,4.6288,0.018,0.0139,0.0112,0.0082,0.0054,0.0053,0.0401,0.4989
1127.76,121.9268,182.5891,271.9121,76.739,5.0543,12.3929,0.7849,4.6288,0.0187,0.0144,0.0113,0.0079,0.0047,0.0046,0.04,0.5097
1127.9124,122.3154,182.9315,271.9121,65.9289,5.0585,12.3855,0.7835,4.6288,0.0152,0.012,0.0096,0.0069,0.0046,0.0045,0.0354,0.4954
1128.0648,122.6941,183.7467,271.9121,58.1308,5.0627,12.3781,0.7821,4.6288,0.0177,0.0138,0.0109,0.0079,0.0051,0.005,0.0312,0.4757
1128.2172,122.802,182.7573,271.9121,56.1317,5.067,12.3929,0.7808,4.6288,0.0164,0.0125,0.0095,0.0064,0.0033,0.0033,0.0312,0.537
1128.3696,122.7749,183.1199,271.9121,58.6768,5.0712,12.3929,0.7794,4.6288,0.0166,0.0128,0.0098,0.0065,0.0036,0.0035,0.03,0.56
1128.522,122.8039,182.9117,271.9121,57.9218,5.0755,12.3929,0.778,4.5863,0.0178,0.0138,0.0107,0.0075,0.0045,0.0044,0.0305,0.6133
1128.6744,122.9905,182.9491,271.9121,55.1211,5.0798,12.4225,0.7766,4.4869,0.0183,0.014,0.0108,0.0074,0.0043,0.0042,0.0305,0.6401
1128.8268,124.1712,182.6653,274.9284,55.2416,5.0841,12.4077,0.7753,4.338,0.0166,0.0127,0.0097,0.0065,0.0034,0.0033,0.0319,0.6593
1128.9792,124.3792,-999.25,279.7946,56.466,5.0884,12.441,0.7739,4.1937,0.0175,0.0134,0.0102,0.0068,0.0037,0.0036,0.0323,0.6937
1129.1316,124.7126,-999.25,281.6133,58.0237,5.0927,12.4447,0.7725,4.0663,0.0202,0.0155,0.0122,0.0087,0.0053,0.0051,0.0321,0.7427
1129.284,124.809,-999.25,284.7143,56.4451,5.097,12.4299,0.7712,3.8943,0.0194,0.0148,0.0115,0.0081,0.0048,0.0047,0.0351,0.8338
1129.4364,125.3244,-999.25,286.7225,55.407,5.1014,12.4373,0.7698,3.6347,0.0185,0.0142,0.0109,0.0075,0.0043,0.0043,0.0387,0.8784
1129.5888,124.9155,-999.25,286.0975,57.7636,5.1058,12.5112,0.7684,3.4013,0.0177,0.0136,0.0106,0.0072,0.0041,0.004,0.0387,0.7209
1129.7412,124.4396,-999.25,281.4807,59.0698,5.1101,12.5926,0.767,3.458,0.0217,0.0168,0.0135,0.0101,0.0068,0.0066,0.0307,0.596
1129.8936,123.4954,-999.25,279.7991,59.2007,5.1146,12.5741,0.7657,3.8936,0.0169,0.0131,0.0101,0.0068,0.0037,0.0036,0.03,0.5711
1130.046,122.8745,-999.25,278.7743,59.7469,5.119,12.5408,0.7643,4.3539,0.0164,0.0125,0.0095,0.0062,0.0033,0.0032,0.03,0.5152
1130.1984,121.9047,180.1115,266.5079,61.0912,5.1234,12.4817,0.7629,4.6182,0.0176,0.0135,0.0103,0.007,0.0038,0.0038,0.0302,0.6107
1130.3508,121.2161,183.0491,263.6332,56.6775,5.1279,12.6296,0.7615,4.6288,0.0159,0.0121,0.0092,0.0061,0.0031,0.003,0.0318,0.6022
1130.5032,120.3926,183.1799,260.4024,54.7459,5.1323,12.6296,0.7602,4.6288,0.0177,0.0133,0.0103,0.007,0.004,0.0039,0.0326,0.6418
1130.6556,120.0353,182.6586,257.3685,51.0525,5.1368,12.5334,0.7588,4.6288,0.0188,0.0144,0.0112,0.0078,0.0046,0.0045,0.0319,0.5284
1130.808,119.8933,182.6698,256.4397,57.8935,5.1413,12.5112,0.7574,4.6288,0.0181,0.0138,0.0107,0.0074,0.0043,0.0042,0.0319,0.5034
1130.9604,119.9213,182.8027,256.4064,59.851,5.1458,12.5186,0.756,4.6288,0.0162,0.0124,0.0094,0.0061,0.0031,0.003,0.0312,0.4954
1131.1128,119.3495,182.5319,256.9748,63.2658,5.1504,12.5408,0.7547,4.6288,0.0183,0.0139,0.0107,0.0074,0.0042,0.0041,0.0315,0.5339
1131.2652,119.7843,182.3344,257.8267,61.4508,5.1549,12.5408,0.7533,4.6288,0.0194,0.0149,0.0117,0.0082,0.005,0.0049,0.0315,0.5927
1131.4176,119.6473,182.4619,258.6437,59.9245,5.1595,12.5556,0.7519,4.3215,0.0148,0.0116,0.0087,0.0057,0.0029,0.0028,0.0314,0.6409
1131.57,119.7025,182.88,259.3235,60.4137,5.1641,12.5408,0.7505,3.7139,0.0159,0.0121,0.0093,0.0062,0.0034,0.0033,0.0318,0.7145
1131.7224,120.2435,182.7853,259.1136,62.4516,5.1687,12.5334,0.7492,3.7139,0.0175,0.0135,0.0106,0.0074,0.0045,0.0044,0.0402,0.7269
1131.8748,120.3052,183.0011,259.9189,66.426,5.1733,12.563,0.7478,4.0212,0.0216,0.0167,0.0134,0.0099,0.0065,0.0063,0.0402,0.6627
1132.0272,120.1047,183.472,261.3007,66.9242,5.1779,12.563,0.7464,4.6288,0.0165,0.013,0.0103,0.0072,0.0045,0.0044,0.0359,0.5676
1132.1796,120.1921,183.47,261.0174,64.0857,5.1826,12.5519,0.745,4.6288,0.0185,0.0143,0.0113,0.008,0.0049,0.0048,0.031,0.565
1132.332,120.8127,183.2515,261.1866,60.553,5.1872,12.5556,0.7437,4.6288,0.0162,0.0123,0.0095,0.0064,0.0034,0.0034,0.0316,0.5306
1132.4844,120.9629,183.019,261.1756,57.5905,5.1919,12.5556,0.7423,4.6149,0.0202,0.0152,0.0119,0.0085,0.0052,0.005,0.0306,0.5169
1132.6368,121.068,183.2937,262.9319,56.7939,5.1966,12.5556,0.7409,4.5942,0.0178,0.0135,0.0103,0.007,0.0038,0.0037,0.0305,0.4908
1132.7892,121.237,183.0866,263.1262,59.2759,5.2013,12.5556,0.7395,4.5893,0.0211,0.0161,0.0129,0.0096,0.0063,0.0061,0.0302,0.5233
1132.9416,121.4331,182.7046,263.3423,59.031,5.2061,12.563,0.7382,4.6032,0.018,0.0138,0.0108,0.0076,0.0047,0.0046,0.0302,0.5283
1133.094,121.8396,182.505,263.8616,58.9157,5.2108,12.5704,0.7368,4.6239,0.0178,0.0138,0.0109,0.0079,0.005,0.0049,0.03,0.5511
1133.2464,122.0452,182.2041,263.758,59.6358,5.2156,12.5408,0.7354,4.6245,0.0189,0.0147,0.0115,0.0081,0.0049,0.0048,0.0339,0.5052
