$Csv,:,,02_97_DD_1X,Lam,Son,JOC,,,

Depth,DTCO3,DTSH5,ECGR,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH
M,us/ft,.,GAPI,.,in,.,g/cm3,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,v/v
1146.048,56.4887,259.9018,93.1939,226.2892,12.4536,0.7068,1.903,0.0127,0.009,0.0061,0.0026,0.0005,0.0005,0.0323,0.5851
1146.2004,56.4887,259.9018,90.9625,226.2892,12.4335,0.7068,1.903,0.0127,0.009,0.0061,0.0026,0.0005,0.0005,0.0323,0.5851
1146.3528,56.4887,259.9018,87.8324,226.256,12.4411,0.7077,1.903,0.0127,0.009,0.0061,0.0026,0.0005,0.0005,0.0323,0.551
1146.5052,56.4887,259.9018,84.9588,226.2229,12.4486,0.7086,1.903,0.0123,0.0087,0.0059,0.0023,0.0004,0.0003,0.03,0.5288
1146.6576,56.4887,259.9018,85.4003,226.1898,12.4453,0.7096,1.903,0.0123,0.0086,0.0058,0.0023,0.0003,0.0003,0.0319,0.5834
1146.81,56.4887,259.9018,87.7393,226.1569,12.4411,0.7105,1.903,0.012,0.0084,0.0057,0.0021,0.0001,0.0001,0.0327,0.6598
1146.9624,56.4887,259.9018,87.9606,226.1241,12.4411,0.7114,1.903,0.0124,0.0086,0.0058,0.0022,0.0001,0.0001,0.0327,0.6568
1147.1148,56.4887,259.9018,89.1608,226.0913,12.4447,0.7123,1.903,0.0125,0.0089,0.0061,0.0025,0.0004,0.0004,0.03,0.549
1147.2672,56.4887,259.9018,91.5762,226.0586,12.4485,0.7132,1.903,0.0119,0.0084,0.0057,0.0022,0.0002,0.0002,0.03,0.5374
1147.4196,56.4887,259.9018,96.5742,226.026,12.4482,0.7141,1.9235,0.0107,0.0075,0.0048,0.0012,0,0,0.0319,0.5407
1147.572,56.4887,259.9018,99.086,225.9935,12.4358,0.715,1.9518,0.01,0.0071,0.0045,0.0011,0,0,0.0319,0.5357
1147.7244,56.4887,259.9018,97.6841,225.9611,12.4424,0.7159,1.9845,0.0122,0.0085,0.0058,0.0022,0.0003,0.0003,0.0331,0.5105
1147.8768,56.4887,259.9018,95.5057,225.9287,12.4317,0.7169,2.0097,0.0121,0.0085,0.0058,0.0023,0.0004,0.0004,0.0311,0.5105
1148.0292,56.4887,259.9018,91.0926,225.8965,12.4363,0.7178,1.9973,0.0122,0.0086,0.0059,0.0023,0.0004,0.0004,0.0331,0.5267
1148.1816,56.4887,259.9018,87.2924,225.8643,12.4428,0.7187,1.9539,0.0123,0.0087,0.0059,0.0023,0.0003,0.0003,0.0328,0.5548
1148.334,56.4887,259.9018,83.4417,225.8322,12.4411,0.7196,2.5172,0.012,0.0085,0.0057,0.0022,0.0002,0.0002,0.0328,0.5626
1148.4864,56.4887,259.9018,83.0116,225.8001,12.4337,0.7205,3.4125,0.0123,0.0087,0.0059,0.0024,0.0005,0.0005,0.03,0.5698
1148.6388,56.4887,259.9018,83.802,225.7682,12.4411,0.7214,4.3214,0.0135,0.0094,0.0064,0.0028,0.0009,0.0008,0.03,0.5848
1148.7912,56.4887,259.9018,84.2381,225.7363,12.4377,0.7223,4.6288,0.0123,0.0086,0.0059,0.0024,0.0006,0.0005,0.034,0.5655
1148.9436,56.4887,259.9018,82.4026,225.7045,12.4294,0.7232,4.6288,0.0128,0.0089,0.0061,0.0025,0.0005,0.0005,0.034,0.5639
1149.096,56.1687,258.9515,79.8052,225.6729,12.4397,0.7242,4.6288,0.0118,0.0083,0.0056,0.0021,0.0002,0.0002,0.034,0.5684
1149.2484,56.5103,257.7925,79.7066,225.6412,12.4305,0.7251,4.6288,0.013,0.0091,0.0063,0.0027,0.0008,0.0008,0.0301,0.5787
1149.4008,56.5103,258.1501,80.327,225.6097,12.4335,0.726,4.6288,0.0137,0.0097,0.0068,0.0032,0.0015,0.0014,0.0301,0.5568
1149.5532,56.4681,257.3871,81.5564,225.5782,12.4486,0.7269,4.6288,0.0139,0.01,0.007,0.0036,0.002,0.0019,0.0302,0.5323
1149.7056,56.4903,257.0946,81.274,225.5469,12.4515,0.7278,4.6288,0.0137,0.0098,0.0068,0.0034,0.0019,0.0018,0.03,0.5713
1149.858,56.4883,255.5476,80.6312,225.5155,12.4526,0.7287,4.6288,0.0145,0.0104,0.0073,0.0037,0.002,0.002,0.0335,0.5669
1150.0104,56.2834,253.3686,81.8794,225.4843,12.4482,0.7297,4.6288,0.0142,0.0103,0.0073,0.0037,0.0021,0.002,0.0335,0.5056
1150.1628,56.2686,254.631,83.5567,225.4532,12.4498,0.7306,4.6288,0.0147,0.0115,0.0082,0.0044,0.0026,0.0025,0.0417,0.4793
1150.3152,56.1034,253.9514,84.8446,225.4221,12.4615,0.7315,4.6288,0.0129,0.0103,0.0077,0.0042,0.0024,0.0024,0.0364,0.4891
1150.4676,56.1034,254.2103,85.0266,225.3911,12.462,0.7324,3.7186,0.0119,0.0095,0.0078,0.0043,0.0026,0.0026,0.0364,0.5174
1150.62,55.0268,255.5836,83.8364,225.3602,12.4558,0.7333,2.8006,0.0129,0.01,0.0086,0.0051,0.0032,0.0031,0.03,0.5696
1150.7724,55.0268,253.2721,83.997,225.3294,12.4451,0.7342,1.8801,0.0141,0.0107,0.0091,0.0061,0.004,0.0039,0.0302,0.6336
