$Csv,:WELL

WELL,Depth,DTCO3,DTSH5,ECGR,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH,DTCO3,DTSH3,DTSH6,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH
.,M,us/ft,.,GAPI,.,in,.,g/cm3,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,v/v,US/F,US/F,US/F,Deg,IN,Deg,G/C3,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,V/V
02_97_DD_1X,1146.048,56.4887,259.9018,93.1939,226.2892,12.4536,0.7068,1.903,0.0127,0.009,0.0061,0.0026,0.0005,0.0005,0.0323,0.5851,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1146.2004,56.4887,259.9018,90.9625,226.2892,12.4335,0.7068,1.903,0.0127,0.009,0.0061,0.0026,0.0005,0.0005,0.0323,0.5851,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1146.3528,56.4887,259.9018,87.8324,226.256,12.4411,0.7077,1.903,0.0127,0.009,0.0061,0.0026,0.0005,0.0005,0.0323,0.551,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1146.5052,56.4887,259.9018,84.9588,226.2229,12.4486,0.7086,1.903,0.0123,0.0087,0.0059,0.0023,0.0004,0.0003,0.03,0.5288,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1146.6576,56.4887,259.9018,85.4003,226.1898,12.4453,0.7096,1.903,0.0123,0.0086,0.0058,0.0023,0.0003,0.0003,0.0319,0.5834,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1146.81,56.4887,259.9018,87.7393,226.1569,12.4411,0.7105,1.903,0.012,0.0084,0.0057,0.0021,0.0001,0.0001,0.0327,0.6598,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1146.9624,56.4887,259.9018,87.9606,226.1241,12.4411,0.7114,1.903,0.0124,0.0086,0.0058,0.0022,0.0001,0.0001,0.0327,0.6568,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1147.1148,56.4887,259.9018,89.1608,226.0913,12.4447,0.7123,1.903,0.0125,0.0089,0.0061,0.0025,0.0004,0.0004,0.03,0.549,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1147.2672,56.4887,259.9018,91.5762,226.0586,12.4485,0.7132,1.903,0.0119,0.0084,0.0057,0.0022,0.0002,0.0002,0.03,0.5374,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1147.4196,56.4887,259.9018,96.5742,226.026,12.4482,0.7141,1.9235,0.0107,0.0075,0.0048,0.0012,0,0,0.0319,0.5407,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
02_97_DD_1X,1147.572,56.4887,259.9018,99.086,225.9935,12.4358,0.715,1.9518,0.01,0.0071,0.0045,0.0011,0,0,0.0319,0.5357,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500,-999.2500
